iter	Passed	Remaining
584	53378	37866
585	53494	37792
586	53605	37715
587	53721	37641
588	53843	37571
589	53962	37499
590	54074	37422
591	54193	37349
592	54324	37285
593	54438	37208
594	54551	37131
595	54663	37054
596	54776	36976
597	54890	36899
598	55004	36822
599	55120	36747
600	55230	36667
601	55342	36588
602	55460	36513
603	55572	36434
604	55683	36355
605	55799	36278
606	55914	36201
607	56030	36124
608	56143	36045
609	56274	35978
610	56390	35901
611	56496	35818
612	56608	35738
613	56715	35654
614	56824	35573
615	56929	35488
616	57037	35405
617	57157	35330
618	57269	35249
619	57384	35170
620	57498	35091
621	57610	35010
622	57727	34932
623	57842	34853
624	57951	34770
625	58060	34687
626	58176	34609
627	58306	34538
628	58419	34457
629	58536	34378
630	58647	34296
631	58756	34212
632	58871	34132
633	58987	34052
634	59107	33975
635	59222	33894
636	59337	33813
637	59450	33732
638	59567	33652
639	59682	33571
640	59794	33488
641	59906	33405
642	60028	33328
643	60141	33245
644	60258	33165
645	60373	33084
646	60498	33007
647	60631	32935
648	60748	32854
649	60867	32774
650	60985	32694
651	61101	32612
652	61221	32532
653	61335	32449
654	61455	32369
655	61571	32287
656	61687	32205
657	61805	32123
658	61916	32038
659	62032	31956
660	62147	31872
661	62263	31789
662	62374	31704
663	62490	31621
664	62601	31535
665	62710	31449
666	62826	31365
667	62939	31281
668	63056	31198
669	63173	31115
670	63290	31032
671	63409	30950
672	63568	30886
673	63688	30804
674	63800	30718
675	63914	30633
676	64037	30552
677	64149	30466
678	64273	30385
679	64385	30299
680	64500	30213
681	64618	30130
682	64732	30044
683	64842	29956
684	64960	29872
685	65080	29789
686	65195	29703
687	65312	29618
688	65430	29533
689	65553	29451
690	65660	29361
691	65773	29274
692	65883	29186
693	66009	29105
694	66122	29017
695	66234	28929
696	66346	28842
697	66453	28752
698	66568	28665
699	66684	28579
700	66797	28491
701	66918	28407
702	67032	28319
703	67147	28232
704	67266	28146
705	67381	28059
706	67496	27972
707	67608	27883
708	67719	27794
709	67831	27705
710	67945	27617
711	68060	27529
712	68173	27441
713	68283	27351
714	68402	27265
715	68525	27180
716	68645	27094
717	68763	27007
718	68879	26919
719	68993	26830
720	69123	26748
721	69243	26661
722	69359	26573
723	69473	26484
724	69598	26399
725	69719	26313
726	69840	26226
727	69958	26138
728	70075	26050
729	70192	25961
730	70307	25872
731	70427	25785
732	70540	25694
733	70665	25608
734	70788	25522
735	70908	25434
736	71032	25348
737	71153	25260
738	71271	25171
739	71395	25084
740	71515	24996
741	71632	24907
742	71755	24819
743	71875	24731
744	71991	24641
745	72113	24553
746	72236	24465
747	72366	24380
748	72506	24297
749	72627	24209
750	72746	24119
751	72861	24028
752	72983	23940
753	73102	23850
754	73221	23760
755	73338	23670
756	73455	23579
757	73574	23489
758	73685	23396
759	73804	23306
760	73917	23214
761	74031	23122
762	74147	23031
763	74270	22942
764	74387	22850
765	74509	22761
766	74637	22673
767	74754	22582
768	74865	22488
769	74975	22395
770	75085	22301
771	75196	22208
772	75308	22115
773	75420	22022
774	75531	21928
775	75637	21833
776	75744	21738
777	75848	21643
778	75951	21547
779	76058	21452
780	76162	21356
781	76269	21261
782	76373	21166
783	76482	21071
784	76585	20975
785	76690	20880
786	76794	20784
787	76900	20689
788	77006	20593
789	77120	20500
790	77226	20405
791	77337	20310
792	77445	20215
793	77554	20121
794	77666	20027
795	77777	19932
796	77888	19838
797	78006	19746
798	78121	19652
799	78237	19559
800	78355	19466
801	78471	19373
802	78585	19279
803	78704	19186
804	78821	19093
805	78941	19000
806	79057	18907
807	79167	18812
808	79280	18717
809	79394	18623
810	79515	18530
811	79627	18435
812	79737	18340
813	79846	18245
814	79972	18153
815	80086	18058
816	80195	17962
817	80302	17866
818	80405	17769
819	80513	17673
820	80618	17576
821	80723	17480
822	80831	17384
823	80933	17286
824	81038	17190
825	81143	17093
826	81246	16995
827	81354	16899
828	81467	16804
829	81574	16708
830	81682	16611
831	81787	16514
832	81899	16419
833	82017	16324
834	82125	16228
835	82236	16132
836	82345	16036
837	82458	15940
838	82564	15843
839	82674	15747
840	82785	15651
841	82910	15558
842	83022	15462
843	83127	15364
844	83232	15267
845	83341	15170
846	83443	15073
847	83547	14975
848	83653	14878
849	83754	14780
850	83864	14683
851	83968	14586
852	84072	14488
853	84175	14390
854	84280	14293
855	84392	14196
856	84511	14101
857	84619	14004
858	84725	13907
859	84836	13810
860	84945	13713
861	85059	13617
862	85166	13520
863	85277	13423
864	85389	13326
865	85501	13230
866	85635	13136
867	85760	13041
868	85879	12946
869	85998	12850
870	86112	12753
871	86229	12657
872	86345	12561
873	86460	12464
874	86574	12367
875	86686	12270
876	86803	12174
877	86928	12078
878	87037	11981
879	87145	11883
880	87253	11785
881	87360	11687
882	87487	11592
883	87599	11494
884	87709	11397
885	87835	11301
886	87946	11204
887	88062	11106
888	88179	11010
889	88288	10912
890	88405	10815
891	88521	10717
892	88632	10619
893	88747	10522
894	88868	10425
895	88991	10329
896	89103	10231
897	89220	10134
898	89332	10036
899	89460	9940
900	89577	9842
901	89698	9745
902	89818	9648
903	89928	9549
904	90043	9452
905	90160	9354
906	90271	9256
907	90378	9157
908	90497	9059
909	90613	8961
910	90716	8862
911	90828	8764
912	90934	8665
913	91054	8567
914	91166	8469
915	91282	8370
916	91394	8272
917	91509	8174
918	91628	8076
919	91743	7977
920	91853	7878
921	91967	7780
922	92080	7681
923	92191	7582
924	92303	7484
925	92421	7385
926	92542	7287
927	92657	7188
928	92772	7090
929	92886	6991
930	93004	6892
931	93125	6794
932	93238	6695
933	93350	6596
934	93465	6497
935	93580	6398
936	93699	6299
937	93815	6201
938	93967	6104
939	94096	6006
940	94214	5907
941	94338	5808
942	94452	5709
943	94569	5610
944	94686	5510
945	94804	5411
946	94913	5311
947	95028	5212
948	95147	5113
949	95263	5013
950	95378	4914
951	95496	4814
952	95612	4715
953	95733	4616
954	95855	4516
955	95980	4417
956	96116	4318
957	96238	4219
958	96353	4119
959	96474	4019
960	96593	3920
961	96712	3820
962	96829	3720
963	96945	3620
964	97067	3520
965	97192	3420
966	97309	3320
967	97415	3220
968	97524	3119
969	97649	3020
970	97765	2919
971	97872	2819
972	97981	2718
973	98090	2618
974	98205	2518
975	98325	2417
976	98439	2317
977	98552	2216
978	98664	2116
979	98778	2015
980	98885	1915
981	98990	1814
982	99095	1713
983	99206	1613
984	99316	1512
985	99424	1411
986	99531	1310
987	99640	1210
988	99747	1109
989	99858	1008
990	99964	907
991	100071	807
992	100178	706
993	100288	605
994	100392	504
995	100499	403
996	100604	302
997	100714	201
998	100820	100
999	100929	0
