iter	Passed	Remaining
171	222	1071
172	224	1071
173	225	1069
174	226	1069
175	228	1069
176	230	1070
177	231	1069
178	232	1068
179	234	1068
180	235	1066
181	237	1065
182	238	1063
183	239	1062
184	240	1059
185	241	1057
186	242	1055
187	244	1055
188	245	1054
189	246	1052
190	247	1050
191	249	1048
192	250	1047
193	251	1045
194	253	1044
195	254	1042
196	255	1040
197	256	1038
198	257	1036
199	258	1034
200	260	1034
201	261	1032
202	262	1029
203	263	1027
204	264	1026
205	265	1023
206	266	1022
207	267	1020
208	268	1017
209	269	1015
210	270	1012
211	271	1010
212	273	1008
213	274	1006
214	275	1004
215	276	1002
216	277	1000
217	278	998
218	279	996
219	280	994
220	281	991
221	282	989
222	283	986
223	284	984
224	285	982
225	286	979
226	287	977
227	287	975
228	288	972
229	289	970
230	290	968
231	292	967
232	293	964
233	294	962
234	295	961
235	296	959
236	297	956
237	298	954
238	299	952
239	300	950
240	300	947
241	301	945
242	302	943
243	303	941
244	304	939
245	305	937
246	306	934
247	307	933
248	308	931
249	309	929
250	310	927
251	311	925
252	312	923
253	313	921
254	314	919
255	315	917
256	316	915
257	317	913
258	318	911
259	319	909
260	320	907
261	321	904
262	322	902
263	323	900
264	324	900
265	325	898
266	326	896
267	327	894
268	328	892
269	329	890
270	330	888
271	331	886
272	332	884
273	332	882
274	333	880
275	334	878
276	335	876
277	336	874
278	338	873
279	339	871
280	340	870
281	341	869
282	342	868
283	344	867
284	345	866
285	346	865
286	347	864
287	349	863
288	350	861
289	351	860
290	352	859
291	353	858
292	354	856
293	356	855
294	357	854
295	359	854
296	360	853
297	361	851
298	362	849
299	363	847
300	364	845
301	365	843
302	366	841
303	366	839
304	367	838
305	368	836
306	369	835
307	370	833
308	372	832
309	373	830
310	374	829
311	375	827
312	376	825
313	377	823
314	377	821
315	378	819
316	379	817
317	380	815
318	381	814
319	382	812
320	383	811
321	384	809
322	385	807
323	386	805
324	386	803
325	388	803
326	389	801
327	390	799
328	391	797
329	392	796
330	393	794
331	394	792
332	394	791
333	395	789
334	396	787
335	397	785
336	398	784
337	399	782
338	400	780
339	401	779
340	402	777
341	403	777
342	405	775
343	406	774
344	407	772
345	407	771
346	408	769
347	409	768
348	410	766
349	411	765
350	412	763
351	413	761
352	414	760
353	415	758
354	416	757
355	417	755
356	418	754
357	420	753
358	421	752
359	422	751
360	423	749
361	424	747
362	425	746
363	426	744
364	427	743
365	428	741
366	428	739
367	429	738
368	430	736
369	431	735
370	432	733
371	433	732
372	434	730
373	436	730
374	437	728
375	438	727
376	438	724
377	439	723
378	440	721
379	441	719
380	442	718
381	442	716
382	443	715
383	444	713
384	445	712
385	446	710
386	447	708
387	448	707
388	449	705
389	450	704
390	451	703
391	452	702
392	454	701
393	455	699
394	455	698
395	456	696
396	457	695
397	458	693
398	459	692
399	460	690
400	461	689
401	462	687
402	463	686
403	464	684
404	465	683
405	466	681
406	467	680
407	468	679
408	469	678
409	470	676
410	471	675
411	472	673
412	472	672
413	473	670
414	474	669
415	475	667
416	476	666
417	477	665
418	478	663
419	479	662
420	480	661
421	481	659
422	482	658
423	484	657
424	485	657
425	487	656
426	488	655
427	489	654
428	490	652
429	491	651
430	492	650
431	493	648
432	494	647
433	495	646
434	496	644
435	497	643
436	498	641
437	499	640
438	500	639
439	501	638
440	502	636
441	503	635
442	504	634
443	505	632
444	506	631
445	507	630
446	508	628
447	509	627
448	510	625
449	511	624
450	511	623
451	512	621
452	513	620
453	515	619
454	516	618
455	517	616
456	518	615
457	519	614
458	520	613
459	521	611
460	521	610
461	522	608
462	523	607
463	524	606
464	525	604
465	526	603
466	527	602
467	528	600
468	529	599
469	530	598
470	531	597
471	532	596
472	533	594
473	534	593
474	535	592
475	536	591
476	538	590
477	540	589
478	541	589
479	545	590
480	546	589
481	547	588
482	549	588
483	550	587
484	551	586
485	552	584
486	553	583
487	554	582
488	556	581
489	557	579
490	558	578
491	558	577
492	559	575
493	560	574
494	561	573
