iter	Passed	Remaining
648	4298	2324
649	4313	2322
650	4329	2320
651	4341	2317
652	4354	2313
653	4364	2308
654	4377	2305
655	4388	2301
656	4397	2295
657	4408	2291
658	4417	2286
659	4429	2281
660	4438	2276
661	4448	2271
662	4459	2266
663	4468	2261
664	4475	2254
665	4485	2249
666	4493	2243
667	4503	2238
668	4511	2232
669	4521	2227
670	4530	2221
671	4537	2214
672	4544	2207
673	4553	2202
674	4560	2195
675	4568	2189
676	4576	2183
677	4584	2177
678	4592	2171
679	4601	2165
680	4608	2158
681	4619	2154
682	4626	2147
683	4635	2141
684	4641	2134
685	4650	2128
686	4658	2122
687	4667	2116
688	4673	2109
689	4682	2103
690	4688	2096
691	4695	2089
692	4705	2084
693	4714	2078
694	4721	2072
695	4727	2064
696	4735	2058
697	4741	2051
698	4748	2044
699	4755	2037
700	4761	2030
701	4768	2024
702	4773	2016
703	4779	2009
704	4785	2002
705	4791	1995
706	4797	1988
707	4804	1981
708	4811	1974
709	4818	1967
710	4825	1961
711	4831	1954
712	4838	1947
713	4845	1941
714	4851	1933
715	4857	1926
716	4866	1920
717	4872	1913
718	4880	1907
719	4886	1900
720	4892	1893
721	4900	1886
722	4906	1879
723	4913	1873
724	4919	1866
725	4927	1859
726	4933	1852
727	4939	1845
728	4945	1838
729	4950	1831
730	4956	1824
731	4962	1817
732	4969	1810
733	4976	1803
734	4982	1796
735	4988	1789
736	4995	1782
737	5000	1775
738	5006	1768
739	5013	1761
740	5018	1754
741	5025	1747
742	5031	1740
743	5037	1733
744	5044	1726
745	5051	1720
746	5058	1713
747	5065	1706
748	5070	1699
749	5077	1692
750	5083	1685
751	5091	1679
752	5097	1672
753	5104	1665
754	5110	1658
755	5117	1651
756	5122	1644
757	5128	1637
758	5135	1630
759	5141	1623
760	5148	1616
761	5154	1609
762	5160	1602
763	5166	1595
764	5171	1588
765	5178	1582
766	5184	1574
767	5191	1568
768	5197	1561
769	5203	1554
770	5210	1547
771	5216	1540
772	5222	1533
773	5228	1526
774	5234	1519
775	5240	1512
776	5246	1505
777	5252	1498
778	5258	1491
779	5264	1484
780	5270	1477
781	5277	1471
782	5283	1464
783	5290	1457
784	5296	1450
785	5302	1443
786	5309	1437
787	5316	1430
788	5323	1423
789	5328	1416
790	5334	1409
791	5341	1402
792	5347	1395
793	5353	1389
794	5361	1382
795	5366	1375
796	5373	1368
797	5379	1361
798	5385	1354
799	5391	1347
800	5398	1341
801	5405	1334
802	5411	1327
803	5416	1320
804	5423	1313
805	5429	1306
806	5436	1300
807	5442	1293
808	5449	1286
809	5456	1280
810	5462	1273
811	5469	1266
812	5475	1259
813	5480	1252
814	5487	1245
815	5493	1238
816	5498	1231
817	5505	1224
818	5511	1217
819	5517	1211
820	5523	1204
821	5529	1197
822	5535	1190
823	5543	1184
824	5550	1177
825	5555	1170
826	5562	1163
827	5568	1156
828	5575	1150
829	5581	1143
830	5587	1136
831	5593	1129
832	5599	1122
833	5605	1115
834	5612	1109
835	5617	1102
836	5624	1095
837	5631	1088
838	5637	1081
839	5644	1075
840	5650	1068
841	5657	1061
842	5662	1054
843	5668	1047
844	5674	1040
845	5680	1034
846	5686	1027
847	5693	1020
848	5699	1013
849	5706	1006
850	5712	1000
851	5717	993
852	5723	986
853	5729	979
854	5735	972
855	5742	965
856	5748	959
857	5754	952
858	5761	945
859	5767	938
860	5773	932
861	5780	925
862	5786	918
863	5791	911
864	5797	904
865	5803	898
866	5809	891
867	5816	884
868	5822	877
869	5828	870
870	5835	864
871	5842	857
872	5849	850
873	5856	844
874	5862	837
875	5868	830
876	5875	824
877	5881	817
878	5887	810
879	5893	803
880	5899	796
881	5906	790
882	5911	783
883	5917	776
884	5923	769
885	5929	762
886	5935	756
887	5941	749
888	5947	742
889	5953	735
890	5960	729
891	5966	722
892	5972	715
893	5978	708
894	5985	702
895	5991	695
